OBJECTID,Shape_Length,Site_ID,Length
1,0.00860462,S1,894.8125084
3,0.01605914,S2,1708.300711
4,0.013285087,S3,1460.462363
6,0.011184353,S6,1222.184586
7,0.006937696,S7,756.7299095
8,0.0084913,S8,918.5045715
9,0.00985955,S11,1054.85998
10,0.00610827,S13,666.7461632
11,0.006342222,S14,681.0988983
12,0.006261414,S15,675.5407688
13,0.005928855,S16,639.65643
14,0.007065439,S19,765.4662784
15,0.010085263,S22,1087.921097
16,0.015463747,S20,1692.966393
17,0.009254493,S21,995.5794739
19,0.007437393,S24,801.7042196
20,0.008609533,S25,907.1825425
21,0.011356392,S26,1248.002029
22,0.006220748,S27,682.6578627
